customer_id;first_name;last_name;phone_number;district;street;house;apartment
1;Maureen;Reyes;8(911)359-80-73;South;st. Lenin;71;40
2;James;Jones;8(933)670-45-72;South;st. Pushkin;3;3
3;Erik;Gordon;8(961)400-16-42;West;st. Gorky;149;82
4;Paul;Nelson;8(968)026-58-06;East;st. Marshal Koshevoy;140;32
5;Yolanda;Jordan;8(929)567-67-82;;st. Leningradskaya;147;21
6;Bertha;Warren;8(925)654-75-53;North;st. Lermontov;33;37
7;Tracy;Spencer;8(923)738-85-21;West;st. Solar;16;9
8;Daniel;Snyder;8(916)675-53-44;South;Builders Ave;22;19
9;Richard;Cooper;8(909)117-85-08;North;Mira Ave;120;57
10;Darryl;Becker;8(993)036-60-46;West;st. Spring;80;12
11;John;Stephens;8(980)808-04-27;West;st. Brick;75;17
12;Donald;Green;8(928)797-80-34;East;st. Stepnaya;29;7
13;Mary;Lucas;8(968)373-68-37;North;st. Enthusiasts;19;10
14;Amy;Hopkins;8(916)850-54-53;West;Mira Ave;112;79
15;Arthur;Moore;8(939)536-44-11;South;st. Leningradskaya;48;33
16;Jennifer;Ruiz;8(981)881-90-34;North;st. Pushkin;46;15
17;Marc;Hill;8(928)697-45-04;South;Builders Ave;12;58
18;Jane;Alexander;8(953)296-82-29;South;st. Marshal Koshevoy;129;81
19;Jonathan;Anderson;8(914)010-75-40;East;st. Lermontov;46;75
20;Kathleen;Garcia;8(923)201-55-83;;st. Pushkin;39;24
21;Christine;Robbins;8(934)598-28-43;East;Builders Ave;90;22
22;Nicholas;Williams;8(915)350-20-85;South;st. Leningradskaya;14;22
23;Joy;White;8(964)122-21-60;West;Mira Ave;10;57
24;Joel;Watts;8(923)652-70-47;East;st. Brick;111;87
25;Calvin;Carlson;8(953)288-47-12;West;st. Lenin;111;38
